motif	estimatedScale	MSE	optimizedScale	optimizedMSE	motifLength	numberOfKmers
BZIP16	0.30198710534454587	1.725182133497763	0.3219871053445459	0.0015540130101986598	10.0	198552
BZIP18	0.3166629673257851	1.1555897944697984	0.3366629673257851	0.02493267976238106	10.0	198552
BZIP2	0.2876727890797756	1.009229045729956	0.2976727890797756	0.08176236763830114	13.0	198552
BZIP28	0.3025076350846523	0.5355034421843257	0.3125076350846523	0.0103212621549313	10.0	198552
BZIP3	0.29296823009923667	1.437941946269129	0.3129682300992367	0.03136973302541394	13.0	198552
BZIP30	0.33659158037242703	1.8983168372229973	0.366591580372427	0.05016703127891258	9.0	198552
BZIP42	0.293691281022497	0.2248530922281608	0.303691281022497	0.0720041959581733	12.0	198552
BZIP43	0.29475488551117635	0.22185330541269027	0.30475488551117635	0.050766570419485076	12.0	198552
BZIP44	0.28623245571247263	0.40768647922588913	0.29623245571247264	0.005886795242786562	13.0	198552
BZIP48	0.2955240110257579	0.35545890972945615	0.30552401102575794	0.010333917576285222	12.0	198552
BZIP52	0.3570678396863883	0.4367050078269958	0.3670678396863883	0.0242494472609501	8.0	198552
BZIP53	0.2780871174872426	1.4071394666937078	0.2980871174872426	0.05120144705334742	13.0	198552
BZIP60	0.24274316368692475	4.697712243415925	0.27274316368692475	0.007394057361918275	8.0	198552
BZIP63	0.3285543051253569	4.234105373047169	0.36855430512535686	0.012581978315174916	8.0	198552
BZIP68	0.30968795754628553	0.6971220637222952	0.31968795754628554	0.056304827781018085	10.0	198552
BZIP69	0.28716316222711463	2.645466122820744	0.30716316222711465	0.10606605164384651	11.0	198552
BZR1	0.26042945177294047	5.78932309130002	0.30042945177294045	0.00323212291880081	10.0	198552
BZR2	0.27965545033407213	4.154592874791382	0.30965545033407216	0.055929186862323704	10.0	198552
Bach1::Mafk	0.2867560217947367	2.8731137710351895	0.3167560217947367	0.06108042045478982	12.0	198552
Barhl1	0.18694213248241456	28.476735693987752	0.33694213248241456	0.03334232133196936	10.0	198552
Bcl11B	0.35012688237928974	1.1824213262973238	0.37012688237928976	0.0042837829373595475	9.0	198552
Bcl6	0.22996877844117714	13.044288227662403	0.28996877844117713	0.01961088657787728	12.0	198552
Bgb::run	0.3232023682958276	1.1450887223615582	0.3432023682958276	0.0003714742506033882	9.0	198552
Bhlha15	0.28670797949000554	5.025080921224448	0.3267079794900055	0.012425627074370081	8.0	198552
Bhlhe40	0.29345396881240443	2.9941732469402385	0.3234539688124044	0.02007309234555698	11.0	198552
Blimp-1	0.3044431081768298	3.370622638656093	0.33444310817682976	0.023635131257695206	10.0	198552
Brachyury	0.3525919174940811	0.7000894659957035	0.3725919174940811	0.030281107747191064	8.0	198552
Bsx	0.27446370229482436	16.84932589997191	0.3744637022948244	2.2765108566582143e-05	6.0	198552
BtbVII	0.3029858638964459	10.547419062316674	0.3729858638964459	0.005546531282461242	7.0	198552
Bteb2	0.2515576772154891	7.644230491851184	0.2915576772154891	0.029061712585601987	13.0	198552
C15	0.29412402770150486	10.923777110079007	0.36412402770150487	0.04961575345004196	7.0	198552
CAD1	0.2798884553706165	9.05396988981836	0.3298884553706165	0.03812808768149765	11.0	198552
CAMTA1	0.2889043421683476	5.088259716785309	0.3289043421683476	0.007226161981092837	9.0	198552
CAMTA2	0.3396514760502363	2.018344768711231	0.3696514760502363	0.0013905074158628706	6.0	198552
CAMTA3	0.3552854165721238	0.8466730223220242	0.37528541657212383	0.00040431696141279345	6.0	198552
CAMTA5	0.2378397735196176	6.593602255461959	0.26783977351961763	0.0979238970985246	16.0	198552
CAT8	0.23104257472409917	20.973726849066033	0.3610425747240992	0.024821035343464835	5.0	198552
CBF1	0.27410721598943116	4.704630764486555	0.30410721598943113	0.06177495978835998	10.0	198552
CCA1	0.30251687347381806	6.9865369791691965	0.35251687347381805	0.04353464684001896	8.0	198552
CDC5	0.29223544548158814	2.193957494142118	0.31223544548158816	0.056542426124738795	9.0	198552
CDF2	0.3702452334276395	3.2736111313624883	0.41024523342763947	0.03672694522466902	7.0	198552
CDF3	0.366252517330328	1.4302923053846095	0.39625251733032796	0.03921347244118547	8.0	198552
CDF5	0.24907103371790149	19.03391514145804	0.3290710337179015	0.013685410807495997	21.0	198552
CDX1	0.24286389260785252	18.190016643394088	0.33286389260785254	0.005869571653628524	10.0	198552
CDX2	0.28163930923278635	13.913388350474165	0.36163930923278637	0.0014860699743416337	8.0	198552
CDX4	0.2880418630893946	10.326428027634307	0.3580418630893946	0.018033298163068225	9.0	198552
CEBPA	0.29143353058445143	5.143666848401269	0.3314335305844514	0.007142400236889024	10.0	198552
CEBPB	0.23857645669055547	4.052459705770315	0.26857645669055547	0.029423194077923067	10.0	198552
CEBPD	0.3284553835411508	2.681900342763813	0.3584553835411508	0.008871896208631774	8.0	198552
CEBPE	0.22602852002141918	6.067602709964122	0.2560285200214192	0.03259715021757451	10.0	198552
CEBPG	0.3119637523844759	2.7164533624100313	0.34196375238447585	0.005827584772346346	10.0	198552
CEP3	0.3559671393422108	0.5061754008689621	0.3759671393422108	0.04463166509787009	7.0	198552
CG11085	0.25073403122092974	19.732710019403576	0.36073403122092973	0.05086913283370578	7.0	198552
CG11617	0.35345129361617506	6.521629335396687	0.41345129361617505	0.047086458384840664	7.0	198552
CG12605	0.33758305938704863	0.931496172880673	0.35758305938704865	0.008606398734946522	9.0	198552
CG15696	0.27866902491988943	14.74673380928838	0.3786690249198894	0.01945440895760956	7.0	198552
CG18599	0.266185494279233	14.969931368068691	0.346185494279233	0.008955824878094015	7.0	198552
CG3065	0.2285670135610735	13.747833663406201	0.2885670135610735	0.028018012551174986	11.0	198552
CG32105	0.2875424758776728	11.01564573648656	0.3575424758776728	0.003088469084432647	7.0	198552
CG32532	0.2474240097262248	19.008205532563537	0.3574240097262248	0.05111331575297462	7.0	198552
CG34031	0.27151193494509074	15.434238475503435	0.3615119349450907	0.017226402854046974	7.0	198552
CG4328	0.30025416035272945	12.59660330176568	0.38025416035272946	0.029950468565661865	7.0	198552
CG4360	0.28484256876626285	0.48148734603424304	0.29484256876626286	0.0003214089791278694	13.0	198552
CG4854	0.33927881863297843	1.187288595797174	0.35927881863297845	0.0019651889425429648	8.0	198552
CG7928	0.23912766624265824	12.879557358056745	0.29912766624265824	0.0001787889471183961	12.0	198552
CG8319	0.2750356160165507	4.572489310676383	0.3050356160165507	0.044707808654326484	10.0	198552
CG9876	0.2634924663070687	17.572119701157913	0.37349246630706867	0.02522874189516562	6.0	198552
CHA4	0.22110911072584574	26.89488270840011	0.3511091107258457	0.05621018569435641	8.0	198552
CHES-1-like	0.2940225832478654	8.618948712362899	0.3540225832478654	0.03935548874604477	10.0	198552
CIN5	0.20740890112055016	23.802061674664262	0.3074089011205502	0.06896473829414453	10.0	198552
CLOCK	0.28409326166536836	2.5906242652726106	0.31409326166536833	0.003818669714852745	7.0	198552
CREB1	0.33567641614412314	0.9930859873679554	0.35567641614412315	0.01066032654180266	8.0	198552
CREB3	0.28540226141143776	1.7127040091454913	0.3054022614114378	0.004084617890696092	12.0	198552
CREB3L1	0.28364322012885324	1.8607372652098126	0.30364322012885325	0.001244560330829466	13.0	198552
CREB3L4	0.2344481452494439	3.2093717419730523	0.2544481452494439	0.12570209995077414	9.0	198552
CREM	0.23393921080030283	4.257158114234402	0.2639392108003028	0.08491288601116857	10.0	198552
CRF2	0.17978437367718406	27.272935770742944	0.30978437367718403	0.06083986132259639	8.0	198552
CRF3	0.27050198381677737	13.926474431860493	0.37050198381677735	0.007154399617499413	4.0	198552
CRF4	0.20419283708925653	21.071543476078258	0.2841928370892565	0.061517616158302584	10.0	198552
CRZ1	0.29643011497514765	15.39843508800066	0.40643011497514764	0.00011300631736655791	6.0	198552
CST6	0.37586185584673854	0.7774406805479028	0.39586185584673855	3.733800465305043e-05	6.0	198552
CTCF	0.3036446050815365	2.1859059504228173	0.32364460508153653	0.08320347339081041	10.0	198552
CTCFL	0.285265651743141	8.062660199369292	0.345265651743141	0.03293810107021334	8.0	198552
CUP2	0.29370616145850037	2.513851646157173	0.3237061614585004	0.08297605941285834	11.0	198552
CUP9	0.3558701592349485	0.9600422414478843	0.37587015923494854	0.003338846889349487	9.0	198552
CUX1	0.2674892058452726	5.120871743221091	0.30748920584527256	0.007734901227762535	9.0	198552
CUX2	0.27923037894916125	6.14519905792495	0.31923037894916123	0.048048697630742654	9.0	198552
Cdx	0.25486465258773044	19.176327997786487	0.3548646525877305	0.006652538850128934	8.0	198552
Cebpa	0.26496268689159425	14.561779527614595	0.34496268689159426	0.017927834698093854	12.0	198552
Cebpg	0.3980078536583902	0.6698240763161125	0.4180078536583902	0.00038423565741958586	6.0	198552
Cf2	0.23387747472904152	11.503378319929507	0.2938774747290415	0.001360171725135082	9.0	198552
Clamp	0.215800845601885	9.679932490909254	0.255800845601885	0.0077796917101157	14.0	198552
Creb1	0.24770474313211097	3.239506196063821	0.26770474313211096	0.09966169529297457	10.0	198552
Creb3l2	0.2930793703140953	2.274383490298522	0.3230793703140953	0.06093460117067675	9.0	198552
Creb5	0.25496302325520737	3.4257564508069116	0.2849630232552074	0.07495398405980902	10.0	198552
CrebA	0.2403089396228984	4.347864950087919	0.27030893962289837	0.03614111544118787	12.0	198552
CrebB	0.2659413388071711	2.5224741163392506	0.2859413388071711	0.06660420815673952	10.0	198552
Crem	0.32946824212239645	3.034963014190943	0.3594682421223965	0.0014251440156674352	9.0	198552
Crg-1	0.20280827987345626	27.006324922182554	0.3328082798734563	0.089945477096677	11.0	198552
Crx	0.396467505017663	0.4570157135245444	0.416467505017663	0.03930207838882517	6.0	198552
D	0.259731043026063	14.962930516801782	0.339731043026063	0.004641172894564993	11.0	198552
